gene,abundance
yrhO,28.4
comK,28.4
yydG,28.4
truB,28.2
yobI,28.2
sirC,28.2
azlB,28.2
gntP,28.2
levD,28.2
rapG,28.1
yurJ,28.1
yhfS,28.1
xpaC,27.9
manA,27.8
hutU,27.8
ytcJ,27.8
yvzA,27.7
moaC,27.7
recX,27.6
pbpE,27.6
yaaG,27.6
ydjP,27.5
ypmR,27.5
yopR,27.5
ribD,27.4
yoeA,27.4
xseA,27.4
sspP,27.3
ykoM,27.3
yxeP,27.3
cgeA,27.2
fliT,27.2
ywoC,27.2
yfkN,27.1
desR,27
narJ,27
yerS,27
BSU21590,26.9
dppC,26.9
queD,26.7
abnA,26.6
comY,26.6
cypD,26.6
yfjD,26.5
yqfU,26.4
melA,26.3
yknY,26.3
ydfI,26.2
gbsB,26
yhcF,26
ykfD,26
yebE,26
bioF,25.9
yurK,25.9
cydA,25.8
pbpX,25.7
galT,25.7
yqgN,25.7
yxeF,25.7
ecsB,25.6
ydeQ,25.4
yurM,25.4
yhxD,25.3
BSU21630,25.3
yycR,25.3
ydeI,25.2
yufK,25.2
moeA,25.1
ysnF,25.1
nifS,25.1
ycxB,25.1
yodI,25
ykuI,25
iolE,24.9
ybbF,24.9
yqhP,24.9
cycB,24.9
ctaA,24.8
cotY,24.6
nap,24.5
yqgB,24.5
yitU,24.5
comFB,24.5
ycsN,24.5
rocE,24.4
recJ,24.2
rsmI,24.1
ypzJ,24.1
ycsA,24.1
yuaD,24
yhcR,24
yrkE,23.9
asnH,23.9
lrpA,23.9
yybB,23.9
ykqA,23.9
yhfB,23.8
trmD,23.8
yfmQ,23.8
gmuG,23.8
sipU,23.7
yhdF,23.7
birA,23.7
sigF,23.6
yfmI,23.6
glvR,23.6
ylxK,23.6
yvaQ,23.5
yhdX,23.5
yopM,23.5
yveL,23.5
dppB,23.4
opuD,23.3
miaA,23.3
yopS,23.2
yfhE,23.2
glpQ,23.1
yncE,23.1
yfhD,23
ydiJ,23
speA,23
fliM,22.9
yesE,22.9
tlpC,22.9
katX,22.9
yoqL,22.9
ypjP,22.8
yqgK,22.8
minJ,22.8
yhdW,22.8
yqaD,22.7
yxeL,22.7
pabB,22.7
gmuR,22.7
ypjA,22.6
yueF,22.6
narH,22.6
kinD,22.6
yobD,22.5
mnaA,22.5
ymaE,22.5
besA,22.5
rnhC,22.4
yfmL,22.3
yhjQ,22.3
pdaC,22.3
yfkJ,22.3
yqgS,22.3
ylxW,22.3
skfB,22.2
dnaD,22.2
cotB,22.2
yheB,22.2
ipi,22.1
pbuO,22.1
whiA,22.1
czrA,22.1
yqjQ,22
hepA,22
comFC,22
mntH,21.9
swrB,21.9
yclJ,21.9
yfmE,21.8
tcyC,21.8
yfjO,21.6
ydaD,21.6
yopX,21.6
nth,21.6
nos,21.5
yonU,21.5
phoA,21.5
yurR,21.4
yopI,21.4
yjoB,21.4
spoIIB,21.3
ythP,21.3
tnrA,21.3
rnmV,21.3
mhqD,21.2
gerM,21.2
ydjG,21.1
kipR,21
dinG,21
ytcD,21
yjcR,21
yxlJ,21
ydzF,20.9
yngC,20.9
yddM,20.9
yueE,20.9
glcD,20.9
gmuB,20.8
ytnA,20.7
cotC,20.7
albG,20.6
yrhD,20.4
yobM,20.4
yoqU,20.4
yqiK,20.3
pps,20.2
yurN,20.2
ydeE,20.2
yrzI,20.2
yugE,20.1
fhuC,20
ygaD,20
cobB,20
yobO,20
yufP,19.9
coaX,19.9
yoaQ,19.9
trpB,19.9
yusP,19.9
yvqJ,19.9
ftsW,19.9
hisK,19.8
yvcB,19.8
yqaM,19.8
yxkD,19.8
hmp,19.7
yobT,19.7
yorY,19.7
ctsR,19.7
yhjB,19.6
cheL,19.6
liaF,19.6
ycnJ,19.6
sunS,19.6
ykuV,19.5
degR,19.4
yqiR,19.4
epsM,19.4
fliH,19.3
rsbU,19.3
bglP,19.2
rsoA,19.2
narG,19.2
ftsL,19.2
yraD,19.2
mgfK,19.2
yjzI,19.2
yqgQ,19.2
yceG,19.1
ybcH,19.1
fdhD,19.1
tagA,19.1
mutS,19
ytlQ,18.9
ydaT,18.9
yorB,18.7
nagB,18.7
fadA,18.7
ydgG,18.7
yddA,18.6
ykcC,18.6
iolI,18.5
Bsubs1_010100014076,18.4
expZ,18.4
kdgA,18.4
gntK,18.4
yccK,18.3
yokL,18.3
yutG,18.3
ykuL,18.3
ypfA,18.3
ydiL,18.3
yfmP,18.3
yfjM,18.3
sapB,18.2
mutM,18.2
yusF,18.2
sspG,18.1
yqgJ,18.1
yoyC,18.1
ycnK,18.1
epsI,18.1
yxiC,18
epsH,17.9
yhcQ,17.8
yppG,17.8
ytqA,17.8
acuA,17.7
xkdV,17.7
ykoL,17.7
ytvB,17.6
yopK,17.6
yycC,17.6
addA,17.6
yxiB,17.5
comGA,17.5
ntdA,17.4
lctP,17.4
glcF,17.4
yoqT,17.4
yrbC,17.4
ycbG,17.3
rex,17.3
cca,17.2
dsdA,17.2
yhgB,17.1
xynD,17
mtlA,17
sigE,17
metK,861
yrpD,850
yheA,847
yabR,846
fumC,845
yclQ,841
yutI,841
yqzC,827
yodC,823
rpmE2,817
yabO,809
bdbD,801
hisB,800
fabI,797
ykwC,794
sat,791
yfiY,790
rfm,787
tenA,786
dapA,772
luxS,771
yrrS,769
yumC,769
yjoA,764
purL,762
katA,760
yqeI,759
mtnK,758
gpsB,755
infB,752
sdhB,748
sunI,745
purD,727
pyc,725
yfmC,722
aroF,716
opuAB,715
clpC,714
upp,714
hprT,712
prs,704
serC,702
yqhL,701
purC,700
yraA,700
std,696
leuA,694
pgl,691
yrzB,687
citZ,685
folC,17
yhcC,17
ugtP,17
spoVID,16.9
yxeN,16.8
comP,16.8
rsiX,16.8
ydgJ,16.8
addB,16.8
yqkE,16.7
yuzD,16.7
ybaJ,16.7
ispD,16.7
yufL,16.7
ydeN,16.7
yocC,16.7
ytkK,16.7
czcR,16.6
yvmA,16.6
yqhQ,16.6
ybgF,16.5
ylmC,16.5
cstA,16.4
glcT,16.4
spoIVB,16.3
degQ,16.3
glvC,16.2
adhB,16.2
proG,16.1
ylbH,16.1
yorS,16.1
yitV,16.1
zapA,16.1
yhaL,16.1
yjcL,16
yqfW,15.9
dinB1,15.9
yjgD,15.9
isp,15.9
ynbB,15.9
yvyG,15.8
yvrE,15.8
sda,15.8
ycgL,15.8
ycbJ,15.7
lspA,15.7
cotM,15.7
sms,15.7
sspL,15.7
yisB,15.7
yomW,15.7
menA,15.7
yosR,15.6
yqjN,15.5
ybfO,15.5
yorE,15.5
yycN,15.5
yisI,15.5
yjbQ,15.5
ytfJ,15.4
yobR,15.4
yvfU,15.4
ytzA,15.4
yppE,15.3
yokA,15.3
yeeB,15.3
stoA,15.3
gerE,15.3
yqfQ,15.2
yozB,15.2
spsA,15.2
yceK,15.2
dppD,15.2
